Author Name,Affiliation
Barry G. Becker,"Silicon Graphics Inc., Mountain View, CA, USA"
Bart Moberts,"Dept. of Math. & Comput. Sci., Technische Univ. Eindhoven, Netherlands"
Basak Alper,"Media Arts & Technol. Program, Univ. of California, Santa Barbara, CA, USA"
Bastian Rieck,"Interdiscipl. Center for Sci. Comput. (IWR), Heidelberg Univ., Heidelberg, Germany"
Behzad Sajadi,"Comput. Sci. Dept., Univ. of California, Irvine, CA, USA"
Bei Wang,"SCI Inst., Univ. of Utah, Salt Lake City, UT, USA"
Bela Soni,"Mississippi State Univ., Oxford, MS"
Benjamin B. Bederson,"Dept. of Comput. Sci., Maryland Univ., College Park, MD, USA"
Benjamin Bach,"Microsoft Research-Inria Joint Centre, France"
Benjamin Bustos,University of Konstanz
Benjamin F. Gregorski,"Center for Appl. Sci. Comput., Lawrence Livermore Nat. Lab., CA, USA"
Benjamin J. Isaac,"ICSE, University of Utah"
Benjamin Mora,"Inst. de Recherche en Informatique de Toulouse (IRIT), Univ. Paul Sabatier, Toulouse, France"
Benjamin Schindler,"ETH Zurich, Zurich, Switzerland"
Ben Shedd,"Princeton Univ., NJ, USA"
Ben Shneiderman,"University of Maryland, United States of America"
Bernd Fröhlich,"GMD German Nat. Res. Center for Inf. Technol., Germany"
Bernd Hentschel,"Virtual Reality Group, RWTH Aachen Univ., Aachen"
Bernhard Jenny,"Oregon State Univ., Corvallis, OR, USA"
Bernhard Preim,"University of Magdeburg, Germany"
Bernice E. Rogowitz,"IBM Thomas J. Watson Res. Center, Hawthorne, NY, USA"
Bertjan Broeksema,"IBM France Center for Adv. Studies, Univ. of Groningen, Groningen, France"
Beth Yost,IEEE
Bettina Speckmann,"TU, Eindhoven"
Betul Salman,"Middlesex University, London, UK"
Bilal Alsallakh,BOSCH Research
Bilkis J. Ferdosi,"Johann Bernoulli Inst. for Math. & Comput. Sci., Univ. of Groningen, Groningen, Netherlands"
Bing Wang,"Comput. Sci. Dept., Stony Brook Univ., Stony Brook, NY, USA"
Binh Pham,"Dept. of Comput. Sci., Monash Univ., Melbourne, Vic., Australia"
Bireswar Laha,"Stanford University, USA"
Bjørn Heckel,"Dept. of Comput. Sci., California Univ., Davis, CA, USA"
Blake Nelson,"Sch. of Comput., Univ. of Utah, Salt Lake City, UT, USA"
Bo Hyoung Kim,Hankuk University of Foreign Studies
Bongshin Lee,Microsoft
Bongwon Suh,"Palo Alto Res. Center, Palo Alto"
Boonthanome Nouanesengsy,"Ohio State Univ., Columbus, OH, USA"
Boris Rabinovich,"Dept. of Comput. Sci., Technion-Israel Inst. of Technol., Haifa, Israel"
Boris Yamrom,"Gen. Electr. Corp. Res. & Dev. Center, Schenectady, NY, USA"
