Author Name,Affiliation
Jie Li,"Sch. of Comput. Sci. & Technol., Tianjin Univ., Tianjin, China"
Jie Liang,"Faculty of Engineer and Information Technology, The University of Technology, Sydney, Australia"
Jihad El-Sana,"Dept. of Comput. Sci., Ben-Gurion Univ. of the Negev, Beer-Sheva, Israel"
Ji Hwan Park,"Stony Brook University, United States of America"
Jim Durbin,"Naval Res. Lab., Washington, DC, USA"
Jimmy Johansson,"Linköping University, Sweden"
Jina Suh,Microsoft Research
Jin Chen,"Dept. of Geogr., Pennsylvania State Univ., University Park, PA, USA"
Jing Hua,Wayne State University
Jing Jin,"Inf. Sci. Inst., Univ. of Southern California, Los Angeles, CA, USA"
Jingjing Liu,"Tufts Univ., Medford, MA, USA"
Jing Su,"Tsinghua University, China"
Jing Xia,"State Key Lab of CAD&CG, Zhejiang University, China"
Jing Yang,UNC Charlotte
Jinwook Seo,Seoul National University
Jinzhu Gao,"Oak Ridge Nat. Lab., TN, USA"
Ji Soo Yi,"Georgia Inst. of Technol., Atlanta"
Joachim Böttger,"Dept. of Comput. & Inf. Sci., Konstanz Univ."
Joachim Georgii,"Comput. Graphics & Visualization Group, Technische Univ. Munchen"
Joachim Giesen,"Univ. des Saarlandes, Saarbrucken"
Joakim Kilby,ping University
João Luiz Dihl Comba,Instituto de InformÃ¡ticaUFRGS
Jochen Ehret,German Research Center for Artificial Intelligence
Jochen Görtler,University of Konstanz
Jock D. Mackinlay,"Tableau Software, Seattle"
Joel Daniels II,"Sch. of Comput. & Sci. Comput., Univ. of Utah, Salt Lake City, UT, USA"
Joe Michael Kniss,"Univ. of New Mexico, Albuquerque"
Joerg Meyer,"Lawrence Berkeley Nat. Lab., Berkeley, CA, USA"
Johanna Beyer,"King Abdullah Univ. of Sci. & Technol. (KAUST), Thuwal, Saudi Arabia"
Johanna E. van der Heyden,"Sch. of Comput. Sci., Simon Fraser Univ., Burnaby, BC, Canada"
Johanna Schmidt,"Vienna Univ. of Technol., Vienna, Austria"
Johannes Fuchs,"Univ. of Konstanz, Konstanz, Germany"
Johannes Kehrer,"VRVis Res. Center, Vienna, Austria"
Johannes Landstorfer,"Department of Design at the University of Applied Sciences Potsdam, Germany"
Johannes Schmidt-Ehrenberg,"Zuse Inst. Berlin (ZIB), Germany"
Johannes Weissenbock,"University of Applied Sciences, Upper Austria, Wels, Austria"
Johann Kastner,"University of Applied Sciences, Upper Austria, Wels, Austria"
John Aldo Lee,"SSS, IREC, MIRO, UniversitÃ© catholique de LouvainUCLBelgian F.R.S.-FNRS."
John Alexis Guerra Gómez,"Dept. of Comput. Sci., Univ. of Maryland, College Park, MD, USA"
John Biddiscombe,"Swiss Nat. Supercomput. Centre, Manno"
John C. Anderson,"Comput. Sci. Dept., California Univ., Davis, CA, USA"
John C. Hart,"Electron. Visualization Lab., Illinois Univ., Chicago, IL, USA"
John G. Hagedorn,"Comput. & Appl. Math. Lab., Nat. Inst. of Stand. & Technol., Gaithersburg, MD, USA"
John Hardy,Lancaster University
John K. Johnstone,"Dept. of Comput. & Inf. Sci., Alabama Univ., Birmingham, AL, USA"
John M. Schreiner,"SCI Inst., Utah Univ., Salt Lake City, UT"
John Peter Lee,"Inst. for Visualization & Perception Res., Massachusetts Univ., Lowell, MA, USA"
John Plate,"Bauhaus-Univ. Weimar, Weimar"
John R. Wright,Jet Propulsion Laboratory
John S. Rowlan,"Div. of Math. & Comput. Sci., Argonne Nat. Lab., IL, USA"
John Sharko,"Dept. of Comput. Sci., Univ. of Massachusetts - Lowell, Lowell, MA"
Johnson Chuang,"Simon Fraser Univ., Burnaby, BC, Canada"
John T. Stasko,Georgia Institute of Technology
Jonathan D. Cohen,"Johns Hopkins Univ., Baltimore, MD, USA"
Jonathan Konieczny,"Digital Technol. Center, Minnesota Univ., Minneapolis, MN, USA"
Jonathan Leidig,"School of Computing and Information Systems, Grand Valley State University"
Jonathan Woodring,Los Alamos National Laboratory
Jonathan Woodruff,Lancaster University
Jon D. Genetti,University of Alaska Fairbanks
Joon-Yong Lee,Pacific Northwest National Laboratory
Jorge Estrada,Barcelona Supercomputing Center
Jorge Luis Williams,"Dept. of Comput. Sci., Idaho Univ., Moscow, ID, USA"
Jorge Poco,New York University
Jörg Haber,"Max-Planck-Inst. fur Inf., Saarbrucken, Germany"
Jörg-Stefan Praßni,"Visualization & Comput. Graphics Res. Group (VisCG), Univ. of Munster, Munster, Germany"
Jorik Blaas,"Visualization Group, Delft Univ. of Technol., Delft, Netherlands"
Jörn Schneidewind,Konstanz Univ.
Jose De Corral,"Waters Corp., Milford, MA, USA"
Jose Gustavo Paiva,"Univ. of Sao Paulo, Sao Paulo, Brazil"
Joseph A. Cottam,"Indiana Univ., Bloomington, IN, USA"
Joseph Marino,"Computer Science Department, Stony Brook University, Stony Brook, NY"
Josh Grant,"Center for Ocean-Atmos. Prediction Studies, Florida State Univ., Tallahassee, FL, USA"
Joshua Foster,University of North Carolina at Charlotte
Joshua Levenberg,"California Univ., Berkeley, CA, USA"
Jovan Popovic,Adobe Research
Jo Wood,"giCentre, City University, London"
Joyce Ma,"Exploratorium, San Francisco, CA, USA"
Juhee Bae,"North Carolina State Univ., Raleigh, NC, USA"
Julia Ebling,"Kaiserslautern, Germany"
Julian Heinrich,"VISUS (Visualization Res. Center), Univ. Stuttgart, Stuttgart, Germany"
Julie C. Xia,"State Univ. of New York, Stony Brook, NY, USA"
Julien Tierny,"Sorbonne Universites, UPMC UnivParis06, CNRS, LIP6 UMR 7606, France"
Julie Yang-Peláez,"Dept. of Mech. Eng., MIT, Cambridge, MA, USA"
Julio Daniel Silva,University of Calgary
Július Parulek,"Dept. ofInformatics, Univ. of Bergen, Bergen, Norway"
Junpeng Wang,The Ohio State University
Jun Wang,"Comput. Sci. Dept., Stony Brook Univ., Stony Brook, NY, USA"
Jun Zhu,School of Software and TNListTsinghua University
Jürgen Bernard,"Fraunhofer Inst. for Comput. Graphics Res. Darmstadt, Darmstadt, Germany"
Jürgen Döllner,"Dept. of Comput. Sci., Munster Univ., Germany"
Jürgen P. Schulze,Brown University
Jürgen Pleiss,"Institute of Technical Biochemistry (ITB), University of Stuttgart, Germany"
Jürgen Waser,"VRVis Vienna, Vienna, Austria"
Jurriaan D. Mulder,"Center for Math. & Comput. Sci., CWI, Amsterdam, Netherlands"
Justin Jang,"GVU Center, Georgia Inst. of Technol., Atlanta, Georgia"
Justin Talbot,"Tableau Res., USA"
K. Andrews,"Inst. for Inf. Process. & Comput. Supported New Media, Graz Univ. of Technol., Austria"
K. Koyamada,"Tokyo Res. Lab., Japan"
Kai Bürger,"Comput. Graphics & Visualization group, Tech. Univ. Munchen, Munich, Germany"
Kaichi Zhou,"Arizona State Univ., Tempe, AZ"
Kai Lawonn,"University of Koblenz-Landau, Germany"
Kai Xu,"Middlesex University, London, UK"
Kai Zhao,New York University
Kalpathi R. Subramanian,"AT&T Bell Lab., Murray Hill, NJ, USA"
Kalyan Veeramachaneni,"Massachusetts Institute of Technology, United States of America"
Kang Shi,"Dept. of Comput. Sci., Manitoba Univ., Winnipeg, Man., Canada"
Kanit Wongsuphasawat,University of Washington
Ka-Ping Yee,University of California
Karel J. Zuiderveld,"Inst. of Med. Image Sci., Univ. Hospital Utrecht, Netherlands"
Karen B. Schloss,"Dept. of Cognitive, Linguistic, and Psychological Sciences at Brown University"
Karen G. Bemis,"Inst. of Marine & Coastal Sci., Rutgers Univ., New Brunswick, NJ, USA"
Karsten Klein,Monash University
Kasper Dinkla,Harvard University
Kasper Hornbæk,University of Copenhagen
Kate Herd,"Middlesex University, London, UK"
Katerina Vrotsou,"Linköping University, Sweden"
Katherine E. Isaacs,"Univ. of California, Davis, Davis, CA, USA"
Katherine McDonough,Northeastern University
Kathleen S. Bonnell,"CIPIC, California Univ., Davis, CA, USA"
Katrin Scharnowski,"Visualization Research Center (VISUS), University of Stuttgart, Germany"
Kay A. Robbins,"Texas Univ., San Antonio, TX, USA"
Keith Andrews,"Inst. for Inf. & Comput. Supported New Media, Graz Univ. of Technol., Austria"
Keith Voegele,"Dept. of Comput. Sci., Arizona State Univ., Tempe, AZ, USA"
Kelly P. Gaither,University of Texas at Austin
Ken Been,Yeshiva Univ.
Ken Brodlie,"Sch. of Comput., Leeds Univ., UK"
Ken Museth,"Linkoping Inst. of Technol., Sweden"
Kenneth C. Cox,"Lucent Technol., Bell Labs., Naperville, IL, USA"
Kenneth L. Summers,"Center for High Performance Comput., New Mexico Univ., Albuquerque, NM, USA"
Kenneth P. Hinkley,"Dept. of Comput. Sci., Worchester Polytech. Inst., MA, USA"
Kenneth R. Allendoerfer,"Coll. of Inf. Sci. & Technol., Drexel Univ., Philadelphia, PA, USA"
Kenneth W. Waters,"Inst. for Data Anal. & Visualization, California Univ., Davis, CA"
Kenneth Weiss,"Lawrence Livermore Nat. Lab., Livermore, CA, USA"
Kerry Rodden,"Comput. Lab., Cambridge Univ., UK"
Ketan Mehta,"Mississippi State Univ., MS"
Kevin Buchin,"Tech. Univ. Eindhoven, Eindhoven, Netherlands"
Kevin Kreeger,"Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA"
Kevin Montgomery,"Nat. Biocomputation Center, Stanford, CA, USA"
Khairi Reda,"Argonne Nat. Lab., Argonne, IL, USA"
Kim Marriott,"Monash University, Data61, CSIRO, Victoria"
Kirk L. Duffin,"Brigham Young Univ., Provo, UT, USA"
Kirk Riley,"Purdue Univ., West Lafayette, IN, USA"
Klaus Engel,"Visualization & Interactive Syst. Group, Stuttgart Univ., Germany"
Klaus Hildebrandt,"Delft University of Technology, The Netherlands"
Klaus Kremer,"Heinz Nixdorf Inst., Paderborn Univ., Germany"
Klaus Mueller,"Computer Science Department, Stony Brook University"
Klaus Reichenberger,"GMD-Inst. for Integrated Publication & Inf. Sci., Darmstadt, Germany"
Konstantin Dmitriev,"Computer Science Department, Stony Brook University, NY"
Kresimir Matkovic,"VRVis Res. Center, Vienna, Austria"
Krishna Chaitanya Gurijala,"Stony Brook Univ., Stony Brook, NY, USA"
Krishna P. C. Madhavan,"Purdue Univ., West Lafayette, IN, USA"
Kristin A. Cook,Smith College
Kristina Santilli,"Rutgers Univ., NJ, USA"
Krist Wongsuphasawat,Twitter Inc.
Krzysztof Niski,"NVIDIA Corp., Santa Clara"
Kui Wu,University of Utah
Kuno Kurzhals,University of Stuttgart
Kurt Stockinger,"Computational Res. Div., Lawrence Berkeley Lab., CA, USA"
Kwan-Liu Ma,"University of California, Davis"
Kyeongpil Kang,Korea University
Kyle Koh,"Seoul Nat. Univ., Seoul, South Korea"
Kyoung Ho Lee,"Bundang Hospital, Seoul National University"
L. R. Seidenberg,"Dept. of Mech. Eng., New Hampshire Univ., Durham, NH, USA"
Lace M. K. Padilla,"Department of Psychology, University of Utah"
Lane Harrison,Worcester Polytechnic Institute
Larry L. Smarr,"Nato Centre for Supercomput. Appls., Champaign, IL, USA"
Lars Grammel,"Univ. of Victoria, Victoria, BC, Canada"
Lars Huettenberger,"Tech. Univ. Kaiserslautern, Kaiserslautern, Denmark"
Lars Linsen,"Sch. of Eng. & Sci., Jacobs Univ., Bremen"
Laura Fritz,"VRVis Res. Center, Vienna, Austria"
Laura Tateosian,"North Carolina State Univ., Raleigh, NC, USA"
Laura von Rüden,"Capgemini, RWTH Aachen University"
Lauren R. Samuels,"Sch. of Med., Dept. of Biostat., Vanderbilt Univ., Nashville, TN, USA"
Laurent Balmelli,"IBM Thomas J. Watson Res. Center, Hawthorne, NY, USA"
Laurent Castanie,"ALICE Group, INRIA, Lorraine"
Laurent Saroul,"Ecole Polytechnique Federale de Lausanne, Switzerland"
Laurin Herr,"Pacific Interface, New York, NY, USA"
Lawrence D. Bergman,"IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA"
Lawrence J. Rosenblum,"US Naval Res. Lab., Washington, DC, USA"
Lee Byron,"New York Times, New York, NY"
Lee M. Seversky,Air Force Research Laboratory
Leila De Floriani,"Genoa Univ., Italy"
Lei Shi,"Chinese Academy of Sciences, SKLCSInstitute of Software"
Leishi Zhang,"Middlesex University, UK"
Leland Wilkinson,"SPSS Inc., Chicago, IL, USA"
Leonid Zhukov,"Dept. of Comput. Sci., California Inst. of Technol., USA"
Leslie Keely,"NASA Ames Res. Center, Moffett Field, CA, USA"
Lewis W. F. Li,"Dept. of Comput. Sci., City Univ. of Hong Kong"
Lexing Ying,"New York Univ., NY, USA"
Liang Gou,"Visa Research, United States of America"
Liang Yu,"Inst. for Infocomm Res., Singapore, Singapore"
Lichan Hong,"Lucent Technol., AT&T Bell Labs., Naperville, IL, USA"
Lijie Xu,"Ohio State Univ., Columbus, OH, USA"
Linda M. Stone,"LORAL Space & Range Syst., Sunnyvale, CA, USA"
Ling Xiao,"Stanford Univ., Palo Alto, CA"
Lingxiao Zhao,"Data Visualization Group, Delft Univ. of Technol."
Lingyun Yu,"Hangzhou Dianzi Univ., Hangzhou, China"
Lior Berry,University of British Columbia
Liqun Jin,"Dept. of Comput. Sci., Mississippi State Univ., MS, USA"
Lisa K. Forssell,"Comput. Sci. Corp., NASA Ames Res. Center, Moffett Field, CA, USA"
Lisa M. Sobierajski,"Corp. Res. & Dev., Gen. Electr. Co., Schenectady, NY, USA"
Lisa Sobierajski Avila,"GE Corp. Res. & Dev., Miskayuna, NY, USA"
Liu Ren,BOSCH Research
Liying Sun,"Dept. of Phys., Stanford Univ., CA, USA"
Lloyd A. Treinish,"IBM Thomas. J. Watson Res. Center, Yorktown Heights, NY, USA"
Lloyd Treinish,"IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA"
Llyr ap Cenydd,"Sch. of Comput. Sci., Bangor Univ., Bangor, UK"
Lok M. Hwa,"California Univ., Davis, CA, USA"
Lonni Besançon,"Inria Saclay, Univ. Paris Saclay, France"
Loretta Auvil,"Univ. of Illinois at Urbana-Champaign, Urbana"
Lori L. Scarlatos,"Grumman Data Systems, Woodbury, NY, USA"
Louis Bavoil,"Sci. Comput. & Imaging Inst., Utah Univ., Salt Lake City, UT, USA"
Luana Micallef,"INRIA, Sophia Antipolis, France"
Luc Beaudoin,"Centre de Recherche Inf. de Montreal, Que.,, Canada"
Lucian Voinea,Technische Univ. Eindhoven
Luc Wilson,Kohn Pedersen Fox Associates PC
Lucy T. Nowell,"Battelle Pacific Northwest Lab., Richland, WA, USA"
Luis Gustavo Nonato,"Universidade de SÃ¥o Paulo, SÃ¥o Carlos, Brazil"
Lujin Wang,"Center for Visual Comput., Stony Brook Univ., Stony Brook, NY"
Lukas Mroz,"VRVis Research Center, Vienna, Austria"
Luke J. Gosink,"Inst. for Data Anal. & Visualization, Univ. of California, Davis, CA"
Lyndsey Franklin,Smith College
Lynn Chien,"Oculus Info Inc., Toronto"
Lynn Schwendiman,"ATS Intelligent Discovery, Silverdale"
M. J. Geller,"Harvard-Smithsonian Center for Astrophys., Cambridge, MA, USA"
M. L. Lantin,"Sch. of Comput. Sci., Simon Fraser Univ., Burnaby, BC, Canada"
M. Shahriar Hossain,"Dept. of Comput. Sci., Virginia Tech, Blacksburg, VA, USA"
M. Sheelagh T. Carpendale,"Department of Computer Science, University of Calgary"
Maarten H. Everts,"Univ. of Groningen, Groningen, Netherlands"
Maarten Löffler,Utrecht University
Madelaine Daianu,Imaging Genetics CenterMark & Mary Stevens Institute for Neuroimaging & InformaticsUniversity of Southern California
Mahnas Jean Mohammadi-Aragh,Mississippi State University
Mahsa Mirzargar,"Sci. Comput. & Imaging Inst., Univ. of Utah, Salt Lake City, UT, USA"
Mai El-Shehaly,Virginia Tech
Malgorzata Migut,"Intell. Syst. Lab. Amsterdam, Univ. of Amsterdam, Amsterdam, Netherlands"
Malte Zöckler,"Konrad-Zuse-Zentrum fur Informationstech., Berlin, Germany"
Manfred Brill,"Dept. of Comput. Sci., Kaiserslautern Univ., Germany"
Manfred Weiler,"Visualization & Interactive Syst. Group, Univ. of Stutgart, Germany"
Manuel Rubio-Sánchez,"URJC, Fuenlabrada, Spain"
Maoyuan Sun,"Dept. of Comput. Sci., Virginia Tech, Blacksburg, VA, USA"
Marc Alexa,"Technische Hochschule Darmstadt, Germany"
Marc D. Hansen,"Dept. of Comput. Sci., California Univ., CA, USA"
Marcel Gavriliu,"Comput. Sci. Dept., California Inst. of Technol., USA"
Marcel Hlawatsch,"VISUS, University of Stuttgart"
Marc Khoury,"Comput. & Inf. Sci. Dept., Ohio State Univ., Columbus, OH, USA"
Marc Najork,"DEC Syst. Res. Center, Palo Alto, CA, USA"
Marco Ament,"Karlsruhe Inst. of Technol., Karlsruhe, Germany"
Marco Angelini,"Sapienza Univ. of Roma, Rome, Italy"
Marco DeRuiter,Leiden University Medical Center
Marco Lanzagorta,"Naval Res. Lab., Washington, DC, USA"
Marcos Lage,Universidade Federal Fluminense
Marco Tarini,"Universita dell''Insubria, Varese"
Marc P. Persoon,"Comput. Graphics & CAD/CAM Group, Delft Univ. of Technol., Netherlands"
Marc Rautenhaus,Technical University of Munich
Marc Streit,University Linz
Marc Treib,"Tech. Univ. Munchen, Munich, Germany"
Marc Weber,Technische Universitat Darmstadt
Marek Teichmann,"Lab. for Comput. Sci., MIT, Cambridge, MA, USA"
Margaret-Anne D. Storey,"Sch. of Comput. Sci., Simon Fraser Univ., Burnaby, BC, Canada"
Margit Pohl,"Vienna Univ. of Technol., Vienna, Austria"
Maria C. Velez,"Center for Adv. Inf. Process., Rutgers State Univ., NJ, USA"
Maria Garcia de la Banda,"Faculty of Information Technology, Monash University"
Maria Luján Ganuza,"VyGLab, UNS, Bahia Blanca, Argentina"
Maria M. Loughlin,"Res. Lab., Digital Equipment Corp., Cambridge, MA, USA"
Marian Dörk,"Comput. Sci. Dept., Univ. of Calgary, Calgary, AB"
Maria Shneerson,"Dept. of Appl. Math., Weizmann Inst. of Sci., Rehovot, Israel"
Marielle Mokhtari,"Syst. of Syst. Sect., Defence R&D Canada, Quebec City, QC, Canada"
Mario Costa Sousa,University of Calgary
Mario Hlawitschka,"Inst. for Comput. Sci., Leipzig Univ., Germany"
Mario Romero,"Georgia Tech, Atlanta, GA"
Mario Valle,"Data Anal. & Visualization Services, Swiss Nat. Supercomput. Centre (CSCS)"
Marjan Trutschl,"LSU Comput. Sci., LSU Health Sci. Center, Shreveport, LA, USA"
Mark A. Christon,"Lawrence Livermore Nat. Lab., CA, USA"
Mark A. Duchaineau,"Los Alamos Nat. Lab., NM, USA"
Mark A. Livingston,"Dept. of Comput. Sci., North Carolina Univ., Chapel Hill, NC, USA"
Mark Borowsky,Novartis Institute of BioMedical Research
Mark Derthick,"Human-Comput. Interaction Inst., Carnegie Mellon Univ., Pittsburgh, PA, USA"
Mark Giereth,"Visualization & Interactive Syst. Inst., Univ. of Stuttgart, Stuttgart"
Mark Gray,"Coll. of Comput., Georgia Univ., Athens, GA, USA"
Mark Igra,"LabKey Software, United States of America"
Mark Pauly,"Eidgenossische Tech. Hochschule, Zurich, Switzerland"
Mark S. Peercy,"Stanford Univ., CA, USA"
Mark Sifer,"Sch. of Econ. & Inf. Syst., Wollongong Univ., NSW"
Markus Bögl,"Vienna Univ. of Technol., Vienna, Austria"
Markus Glatter,"Univ. of Tennessee at Knoxville, Knoxville, TN"
Markus H. Gross,"Dept. of Comput. Sci., Zurich Univ., Switzerland"
Markus Hadwiger,"VRVis Res. Center, Vienna"
Markus Rütten,German Aerosp. Center
Mark Wallace,"Faculty of Information Technology, Monash University"
Marta Farre,"Royal Veterinary College, University of London"
Marta Kersten,"Med. Comput. Lab., Queen''s Univ."
Martin Fink,"Inst. fur Inf., Univ. Wurzburg, Wurzburg, Germany"
Martin Graham,"Napier Univ, Edinburgh"
Martin Haidacher,"Inst. of Comput. Graphics & Algorithms, Vienna Univ. of Technol., Vienna, Austria"
Martin Hering-Bertram,"TU Kaiserslautern, Germany"
Martin Isenburg,"North Carolina Univ., Chapel Hill, NC, USA"
Martin Kraus,"Purdue Univ., West Lafayette, IN, USA"
Martin L. Brady,"Microcomput. Res. Labs., Intel Corp., USA"
Martin Luboschik,"Univ. of Rostock, Rostock"
Martin Röhlig,"Univ. of Rostock, Rostock, Germany"
Martin Roth,"Center for Sci. Comput., Eidgenossische Tech. Hochschule, Zurich, Switzerland"
Martin Suter,"Dept. of Geogr., Zurich Univ., Switzerland"
Martin Wattenberg,"IBM Res., Cambridge, MA"
Maryam Nafari,"Center for Spatial Anal., Univ. of Oklahoma, Norman, OK, USA"
Masahiko Itoh,"Inst. of Ind. Sci., Univ. of Tokyo, Tokyo, Japan"
Matei Mancas,Polytechnique de Mons
Matej Mlejnek,"Inst. of Comput. Graphics & Algorithms, Vienna Univ. of Technol., Austria"
Matej Novotny,"Comenius Univ., Bratislava"
Mathias Goldau,Leipzig University
Mathias Hummel,"Univ. of Kaiserslautern, Kaiserslautern, Germany"
Mathias Kanzler,Technical University of Munich
Mats Lind,"Dept. of Inf. Sci., Uppsala Univ., Sweden"
Matthew Barish,"Computer Science Department, Stony Brook University, NY"
Matthew Berger,Air Force Research Laboratory
Matthew Brehmer,"Univ. of British Columbia, Vancouver, BC, Canada"
Matthew C. Humphrey,"Iviz, Stafford VA, USA"
Matthew Chalmers,"Union Bank of Switzerland, Switzerland"
Matthew D. Cooper,"Linköping University, Sweden"
Matthew Hall,"Nat. Center for Supercomput. Appl., Illinois Univ., Urbana, IL, USA"
Matthew Hoffman,Adobe Research
Matthew L. Parry,"Dept. of Comput. Sci., Swansea Univ., Swansea, UK"
Matthew O. Ward,"Dept. of Comput. Sci., Worcester Polytech. Inst., MA, USA"
Matthew Tobiasz,"Univ. of Calgary, Calgary, AB, Canada"
Matthias Hopf,"Visualization & Interactive Syst. Group, Univ. of Stuttgart, Germany"
Matthias Kreuseler,"SD Industries GmbH, Gundelfingen"
Matthias Zwicker,"Eidgenossische Tech. Hochschule, Zurich, Switzerland"
Matt McKeon,IBM Research
Matt Williams,"British Columbia Univ., Vancouver, BC"
Matús Straka,"Comm. for Sci. Visualization, Austrian Acad. of Sci., Austria"
Maurice Termeer,"Vienna Univ. of Technol., Vienna"
Max Hermann,"Inst. fur Inf. II, Univ. Bonn, Bonn, Germany"
Maxime Cordeil,Monash University
Maximilian Baust,"nchen, Germany"
Maylis Delest,Universit&#233
Mayya Komisarchik,Harvard Institute for Quantitative Social Sciences
Meenakshisundaram Gopi,"Dept. of Comput. Sci., North Carolina Univ., Chapel Hill, NC, USA"
Megan Monroe,"Univ. of Maryland, College Park, MD, USA"
Mehdi Ammi,"Limsi/CNRS, France"
Mehmet Adil Yalçin,"Univ. of Maryland, College Park, MD, USA"
Mei C. Chuah,"Accenture Technol. Labs., Palo Alto, CA, USA"
Melanie Tory,Tableau Research
Mengchen Liu,School of Software and TNListTsinghua University
Mengdie Hu,Georgia Institute of Technology
Miao Jin,"Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA"
Michael Balzer,"Dept. of Comput. & Inf. Sci., Konstanz Univ., Germany"
Michael Beham,"Austrian Inst. of Technol., Vienna Univ. of Technol., Vienna, Austria"
Michael Behrisch,"University of Konstanz, Germany"
Michael Bostock,"Comput. Sci. Dept., Stanford Univ., Stanford, CA, USA"
Michael Brasher,"Aerosp. Computational Design Lab., MIT, MA, USA"
Michael Brooks,"Univ. of Washington, Seattle, WA, USA"
Michael Brudno,"Hospital for Sick Children, University of Toronto, Toronto"
Michael Burch,"VISUS, University of Stuttgart"
Michael Correll,University of Washington
Michael Cox,"NASA Ames Res. Center, Moffett Field, CA, USA"
Michael D. McCool,"Comput. Graphics Lab., Waterloo Univ., Ont., Canada"
Michael Delz,"University of Konstanz, Germany"
Michael Farrugia,"Univ. Coll. Dublin, Dublin"
Michael Garland,"Illinois Univ., Urbana, IL, USA"
Michael Gleicher,"University of Wisconsin-Madison, United States of America"
Michael Glueck,Autodesk ResearchUniversity of Toronto
Michael Granitzer,"Know-Center, Graz"
Michael Griebel,"Inst. for Numerical Simulation, Bonn Univ., Germany"
Michael Halle,"Harvard Med. Sch., Harvard Univ., USA"
Michael Higgins,"MAYA Design Group Inc., Pittsburgh, PA, USA"
Michael Hund,"University of Konstanz, Germany"
Michael J. Laszlo,"Dept. of Electr. Eng. & Comput. Sci., Illinois Univ., Chicago, IL, USA"
Michael J. McGuffin,"Ecole de Technol. Super., Montreal, QC, Canada"
Michael Krone,"Visualization Research Center (VISUS), University of Stuttgart, Germany"
Michael Margaliot,"Dept. of Electr. Eng., Technion-Israel Inst. of Technol., Haifa, Israel"
Michael Meißner,"WSI, Tubingen Univ., Germany"
Michael Ogawa,"VIDI Lab., Univ. of California, Davis, CA, USA"
Michael Schlemmer,"Univ. of Kaiserslautern, Kaiserslautern"
Michael Sedlmair,"University of Vienna, Austria"
Michael Stonebraker,"EECS Dept., California Univ., Berkeley, CA, USA"
Michail Schwab,Harvard Paulson SEAS
Michal Marcinkowski,&#65533
Michel A. Westenberg,University of Stuttgart
Michel Crampes,"LGI2P/EMA Res. Center, France"
Michelle Borkin,"Sch. of Eng. & Appl. Sci., Harvard Univ., Cambridge, MA, USA"
Michelle X. Zhou,"IBM Thomas J. Watson Res. Center, Hawthorne, NY, USA"
Mi Feng,Worcester Polytechnic Institute
Miguel A. Otaduy,"Dept. of Comput. Sci., North Carolina Univ., Chapel Hill, NC, USA"
Miguel Nunes,"VRVis Research Center, Vienna, Austria"
Mihaela Jarema,"Tech. Univ. Munchen, Mu&#x0308"
Mihael Ankerst,"Munich Univ., Germany"
Mike Cammarano,"Stanford Univ., Stanford"
Mike E. Botts,"Alabama Univ., Huntsville, AL, USA"
Mike M. Chow,"MIT, Cambridge, MA, USA"
Mike Sips,"German Res. Center for Geosci. GFZ, Germany"
Mikhail Smelyanskiy,"Intel Corp., Santa Clara, CA, USA"
Mikkel Rønne Jakobsen,"Univ. of Copenhagen, Copenhagen, Denmark"
Milana Huang,"Electronic Visualization Laboratory, Departments of EECS, University of Illinois at Chicago"
Milan Ikits,"Sci. Comput. & Imaging Inst., Utah Univ., USA"
Milos Krstajic,"Univ. of Konstanz, Konstanz, Germany"
Milos Srámek,"Slovak Tech. Univ., Bratislava, Slovakia"
Min Chen,"University of Oxford, UK"
Ming C. Hao,"Hewlett-Packard Labs., Palo Alto, CA, USA"
Ming-Hoe Kiu,"Dept. of Electr. Eng., Mississippi State Univ., MS, USA"
Ming Jiang,"Ohio State Univ., Columbus, OH, USA"
Mingqian Zhao,"Hong Kong University of Science and Technology, China"
Ming Wan,"The Boeing Co., Seattle, WA, USA"
Ming-Yuen Chan,"Dept. of Comput. Sci. & Eng., Hong Kong Univ. of Sci. & Technol., Hong Kong, China"
Minh X. Nguyen,", Minnesota Univ., MN, USA"
Minjeong Kim,Korea University
Min Lu,"Key Lab. of Machine Perception, Peking Univ., Beijing, China"
Minoo Erfani Joorabchi,"Simon Fraser Univ., Burnaby, BC, Canada"
Min Song,"Sch. of Libr. & Inf. Sci., Indiana Univ., Bloomington, IN, USA"
Minsu Ahn,Pohang Univ. of Sci. & Technol.
Mira Dontcheva,Adobe Research
Miriah D. Meyer,University of Utah
Miriam Perkins,"Univ. of Massachusetts Lowell, Lowell, MA, USA"
Mirko Mandic,Texas A&M University
Mitchell Roth,"Arctic Region Supercomput. Center, Alaska Univ., Fairbanks, AK, USA"
Mohammad Ghoniem,"UNC Charlotte, Charlotte"
Mohammad H. Ghavamnia,"Dept. of Comput. Sci., Regina Univ., Sask., Canada"
Mohammad Imrul Jubair,University of Calgary
Mona Hosseinkhani Loorak,"Department of Computer Science, University of Calgary"
Mondrian Hsieh,Kohn Pedersen Fox Associates PC
Monica K. Hurdal,"Int. Neuroimaging Consortium, Univ. of Minneapolis, MN, USA"
Monica Tavanti,University Sweden
Monika Büscher,"Dept. of Sociology, Lancaster Univ., UK"
